State,Year,Month,Condition,BehavioralHealthService,ServiceCount,RatePer1000Beneficiaries,DataQuality
Hawaii,2018,201812,Mental health disorder,Outpatient,24772,70.9,
Hawaii,2018,201812,Substance use disorder,Outpatient,1549,4.4,
Hawaii,2018,201812,Mental health disorder,Telehealth,154,0.4,
Hawaii,2018,201812,Substance use disorder,Telehealth,DS,DS,
Hawaii,2019,201901,Mental health disorder,Emergency department,1210,3.5,
Hawaii,2019,201901,Substance use disorder,Emergency department,1826,5.2,
Hawaii,2019,201901,Mental health disorder,Inpatient,589,1.7,
Hawaii,2019,201901,Substance use disorder,Inpatient,995,2.9,
Hawaii,2019,201901,Mental health disorder,Intensive outpatient/Partial hospitalization,939,2.7,
Hawaii,2019,201901,Substance use disorder,Intensive outpatient/Partial hospitalization,3230,9.3,
Hawaii,2019,201901,Mental health disorder,Outpatient,29430,84.4,
Hawaii,2019,201901,Substance use disorder,Outpatient,1703,4.9,
Hawaii,2019,201901,Mental health disorder,Telehealth,173,0.5,
Hawaii,2019,201901,Substance use disorder,Telehealth,30,0.1,
Hawaii,2019,201902,Mental health disorder,Emergency department,1117,3.2,
Hawaii,2019,201902,Substance use disorder,Emergency department,1744,5.0,
Hawaii,2019,201902,Mental health disorder,Inpatient,512,1.5,
Hawaii,2019,201902,Substance use disorder,Inpatient,897,2.6,
Hawaii,2019,201902,Mental health disorder,Intensive outpatient/Partial hospitalization,992,2.9,
Hawaii,2019,201902,Substance use disorder,Intensive outpatient/Partial hospitalization,2743,7.9,
Hawaii,2019,201902,Mental health disorder,Outpatient,26259,75.9,
Hawaii,2019,201902,Substance use disorder,Outpatient,1505,4.3,
Hawaii,2019,201902,Mental health disorder,Telehealth,196,0.6,
Hawaii,2019,201902,Substance use disorder,Telehealth,37,0.1,
Hawaii,2019,201903,Mental health disorder,Emergency department,1224,3.5,
Hawaii,2019,201903,Substance use disorder,Emergency department,1916,5.5,
Hawaii,2019,201903,Mental health disorder,Inpatient,567,1.6,
Hawaii,2019,201903,Substance use disorder,Inpatient,993,2.9,
Hawaii,2019,201903,Mental health disorder,Intensive outpatient/Partial hospitalization,1084,3.1,
Hawaii,2019,201903,Substance use disorder,Intensive outpatient/Partial hospitalization,3176,9.2,
Hawaii,2019,201903,Mental health disorder,Outpatient,27201,78.5,
Hawaii,2019,201903,Substance use disorder,Outpatient,1715,4.9,
Hawaii,2019,201903,Mental health disorder,Telehealth,214,0.6,
Hawaii,2019,201903,Substance use disorder,Telehealth,66,0.2,
Hawaii,2019,201904,Mental health disorder,Emergency department,1212,3.5,
Hawaii,2019,201904,Substance use disorder,Emergency department,1903,5.5,
Hawaii,2019,201904,Mental health disorder,Inpatient,538,1.6,
Hawaii,2019,201904,Substance use disorder,Inpatient,907,2.6,
Hawaii,2019,201904,Mental health disorder,Intensive outpatient/Partial hospitalization,919,2.7,
Hawaii,2019,201904,Substance use disorder,Intensive outpatient/Partial hospitalization,3293,9.5,
Hawaii,2019,201904,Mental health disorder,Outpatient,27969,81.0,
Hawaii,2019,201904,Substance use disorder,Outpatient,1672,4.8,
Hawaii,2019,201904,Mental health disorder,Telehealth,216,0.6,
Hawaii,2019,201904,Substance use disorder,Telehealth,78,0.2,
Hawaii,2019,201905,Mental health disorder,Emergency department,1261,3.7,
Hawaii,2019,201905,Substance use disorder,Emergency department,2065,6.0,
Hawaii,2019,201905,Mental health disorder,Inpatient,552,1.6,
Hawaii,2019,201905,Substance use disorder,Inpatient,881,2.6,
Hawaii,2019,201905,Mental health disorder,Intensive outpatient/Partial hospitalization,927,2.7,
Hawaii,2019,201905,Substance use disorder,Intensive outpatient/Partial hospitalization,3245,9.4,
Hawaii,2019,201905,Mental health disorder,Outpatient,25260,73.2,
Hawaii,2019,201905,Substance use disorder,Outpatient,1447,4.2,
Hawaii,2019,201905,Mental health disorder,Telehealth,251,0.7,
Hawaii,2019,201905,Substance use disorder,Telehealth,72,0.2,
Hawaii,2019,201906,Mental health disorder,Emergency department,1284,3.7,
Hawaii,2019,201906,Substance use disorder,Emergency department,1929,5.6,
Hawaii,2019,201906,Mental health disorder,Inpatient,526,1.5,
Hawaii,2019,201906,Substance use disorder,Inpatient,901,2.6,
Hawaii,2019,201906,Mental health disorder,Intensive outpatient/Partial hospitalization,834,2.4,
Hawaii,2019,201906,Substance use disorder,Intensive outpatient/Partial hospitalization,2717,7.9,
Hawaii,2019,201906,Mental health disorder,Outpatient,21098,61.3,
Hawaii,2019,201906,Substance use disorder,Outpatient,1279,3.7,
Hawaii,2019,201906,Mental health disorder,Telehealth,188,0.5,
Hawaii,2019,201906,Substance use disorder,Telehealth,28,0.1,
Hawaii,2019,201907,Mental health disorder,Emergency department,1246,3.6,
Hawaii,2019,201907,Substance use disorder,Emergency department,2005,5.8,
Hawaii,2019,201907,Mental health disorder,Inpatient,608,1.8,
Hawaii,2019,201907,Substance use disorder,Inpatient,963,2.8,
Hawaii,2019,201907,Mental health disorder,Intensive outpatient/Partial hospitalization,801,2.3,
Hawaii,2019,201907,Substance use disorder,Intensive outpatient/Partial hospitalization,2595,7.5,
Hawaii,2019,201907,Mental health disorder,Outpatient,22756,66.0,
Hawaii,2019,201907,Substance use disorder,Outpatient,1212,3.5,
Hawaii,2019,201907,Mental health disorder,Telehealth,220,0.6,
Hawaii,2019,201907,Substance use disorder,Telehealth,21,0.1,
Hawaii,2019,201908,Mental health disorder,Emergency department,1353,3.9,
Hawaii,2019,201908,Substance use disorder,Emergency department,2020,5.9,
Hawaii,2019,201908,Mental health disorder,Inpatient,567,1.6,
Hawaii,2019,201908,Substance use disorder,Inpatient,994,2.9,
Hawaii,2019,201908,Mental health disorder,Intensive outpatient/Partial hospitalization,595,1.7,
Hawaii,2019,201908,Substance use disorder,Intensive outpatient/Partial hospitalization,2417,7.0,
Hawaii,2019,201908,Mental health disorder,Outpatient,22389,65.0,
Hawaii,2019,201908,Substance use disorder,Outpatient,1271,3.7,
Hawaii,2019,201908,Mental health disorder,Telehealth,201,0.6,
Hawaii,2019,201908,Substance use disorder,Telehealth,53,0.2,
Hawaii,2019,201909,Mental health disorder,Emergency department,1162,3.4,
Hawaii,2019,201909,Substance use disorder,Emergency department,1916,5.6,
Hawaii,2019,201909,Mental health disorder,Inpatient,513,1.5,
Hawaii,2019,201909,Substance use disorder,Inpatient,1003,2.9,
Hawaii,2019,201909,Mental health disorder,Intensive outpatient/Partial hospitalization,88,0.3,
Hawaii,2019,201909,Substance use disorder,Intensive outpatient/Partial hospitalization,2134,6.2,
Hawaii,2019,201909,Mental health disorder,Outpatient,20389,59.1,
Hawaii,2019,201909,Substance use disorder,Outpatient,1293,3.7,
Hawaii,2019,201909,Mental health disorder,Telehealth,178,0.5,
Hawaii,2019,201909,Substance use disorder,Telehealth,66,0.2,
Hawaii,2019,201910,Mental health disorder,Emergency department,1284,3.7,
Hawaii,2019,201910,Substance use disorder,Emergency department,2073,6.0,
Hawaii,2019,201910,Mental health disorder,Inpatient,590,1.7,
Hawaii,2019,201910,Substance use disorder,Inpatient,1038,3.0,
Hawaii,2019,201910,Mental health disorder,Intensive outpatient/Partial hospitalization,131,0.4,
Hawaii,2019,201910,Substance use disorder,Intensive outpatient/Partial hospitalization,2385,6.9,
Hawaii,2019,201910,Mental health disorder,Outpatient,22286,64.7,
Hawaii,2019,201910,Substance use disorder,Outpatient,1176,3.4,
Hawaii,2019,201910,Mental health disorder,Telehealth,193,0.6,
Hawaii,2019,201910,Substance use disorder,Telehealth,61,0.2,
Hawaii,2019,201911,Mental health disorder,Emergency department,1194,3.5,
Hawaii,2019,201911,Substance use disorder,Emergency department,2080,6.0,
Hawaii,2019,201911,Mental health disorder,Inpatient,665,1.9,
Hawaii,2019,201911,Substance use disorder,Inpatient,998,2.9,
Hawaii,2019,201911,Mental health disorder,Intensive outpatient/Partial hospitalization,146,0.4,
Hawaii,2019,201911,Substance use disorder,Intensive outpatient/Partial hospitalization,2018,5.9,
Hawaii,2019,201911,Mental health disorder,Outpatient,19319,56.2,
Hawaii,2019,201911,Substance use disorder,Outpatient,1083,3.1,
Hawaii,2019,201911,Mental health disorder,Telehealth,172,0.5,
Hawaii,2019,201911,Substance use disorder,Telehealth,47,0.1,
Hawaii,2019,201912,Mental health disorder,Emergency department,1201,3.5,
Hawaii,2019,201912,Substance use disorder,Emergency department,2045,6.0,
Hawaii,2019,201912,Mental health disorder,Inpatient,458,1.3,
Hawaii,2019,201912,Substance use disorder,Inpatient,848,2.5,
Hawaii,2019,201912,Mental health disorder,Intensive outpatient/Partial hospitalization,128,0.4,
Hawaii,2019,201912,Substance use disorder,Intensive outpatient/Partial hospitalization,2021,5.9,
Hawaii,2019,201912,Mental health disorder,Outpatient,18855,54.9,
Hawaii,2019,201912,Substance use disorder,Outpatient,1230,3.6,
Hawaii,2019,201912,Mental health disorder,Telehealth,171,0.5,
Hawaii,2019,201912,Substance use disorder,Telehealth,DS,DS,
Hawaii,2020,202001,Mental health disorder,Emergency department,1184,3.4,
Hawaii,2020,202001,Substance use disorder,Emergency department,2016,5.9,
Hawaii,2020,202001,Mental health disorder,Inpatient,566,1.6,
Hawaii,2020,202001,Substance use disorder,Inpatient,951,2.8,
Hawaii,2020,202001,Mental health disorder,Intensive outpatient/Partial hospitalization,129,0.4,
Hawaii,2020,202001,Substance use disorder,Intensive outpatient/Partial hospitalization,2368,6.9,
Hawaii,2020,202001,Mental health disorder,Outpatient,21674,63.1,
Hawaii,2020,202001,Substance use disorder,Outpatient,1292,3.8,
Hawaii,2020,202001,Mental health disorder,Telehealth,235,0.7,
Hawaii,2020,202001,Substance use disorder,Telehealth,18,0.1,
Hawaii,2020,202002,Mental health disorder,Emergency department,1110,3.2,
Hawaii,2020,202002,Substance use disorder,Emergency department,1781,5.2,
Hawaii,2020,202002,Mental health disorder,Inpatient,496,1.4,
Hawaii,2020,202002,Substance use disorder,Inpatient,849,2.5,
Hawaii,2020,202002,Mental health disorder,Intensive outpatient/Partial hospitalization,141,0.4,
Hawaii,2020,202002,Substance use disorder,Intensive outpatient/Partial hospitalization,2115,6.2,
Hawaii,2020,202002,Mental health disorder,Outpatient,19779,57.8,
Hawaii,2020,202002,Substance use disorder,Outpatient,1129,3.3,
Hawaii,2020,202002,Mental health disorder,Telehealth,231,0.7,
Hawaii,2020,202002,Substance use disorder,Telehealth,45,0.1,
Hawaii,2020,202003,Mental health disorder,Emergency department,1023,3.0,
Hawaii,2020,202003,Substance use disorder,Emergency department,1719,5.0,
Hawaii,2020,202003,Mental health disorder,Inpatient,489,1.4,
Hawaii,2020,202003,Substance use disorder,Inpatient,846,2.5,
Hawaii,2020,202003,Mental health disorder,Intensive outpatient/Partial hospitalization,101,0.3,
Hawaii,2020,202003,Substance use disorder,Intensive outpatient/Partial hospitalization,1921,5.6,
Hawaii,2020,202003,Mental health disorder,Outpatient,17154,49.7,
Hawaii,2020,202003,Substance use disorder,Outpatient,949,2.7,
Hawaii,2020,202003,Mental health disorder,Telehealth,1995,5.8,
Hawaii,2020,202003,Substance use disorder,Telehealth,209,0.6,
Hawaii,2020,202004,Mental health disorder,Emergency department,970,2.7,
Hawaii,2020,202004,Substance use disorder,Emergency department,1257,3.6,
Hawaii,2020,202004,Mental health disorder,Inpatient,419,1.2,
Hawaii,2020,202004,Substance use disorder,Inpatient,708,2.0,
Hawaii,2020,202004,Mental health disorder,Intensive outpatient/Partial hospitalization,132,0.4,
Hawaii,2020,202004,Substance use disorder,Intensive outpatient/Partial hospitalization,1303,3.7,
Hawaii,2020,202004,Mental health disorder,Outpatient,10918,30.9,
Hawaii,2020,202004,Substance use disorder,Outpatient,564,1.6,
Hawaii,2020,202004,Mental health disorder,Telehealth,7218,20.4,
Hawaii,2020,202004,Substance use disorder,Telehealth,914,2.6,
Hawaii,2020,202005,Mental health disorder,Emergency department,1132,3.1,
Hawaii,2020,202005,Substance use disorder,Emergency department,1562,4.3,
Hawaii,2020,202005,Mental health disorder,Inpatient,522,1.4,
Hawaii,2020,202005,Substance use disorder,Inpatient,862,2.4,
Hawaii,2020,202005,Mental health disorder,Intensive outpatient/Partial hospitalization,137,0.4,
Hawaii,2020,202005,Substance use disorder,Intensive outpatient/Partial hospitalization,1355,3.8,
Hawaii,2020,202005,Mental health disorder,Outpatient,10877,30.2,
Hawaii,2020,202005,Substance use disorder,Outpatient,634,1.8,
Hawaii,2020,202005,Mental health disorder,Telehealth,7343,20.4,
Hawaii,2020,202005,Substance use disorder,Telehealth,1164,3.2,
Hawaii,2020,202006,Mental health disorder,Emergency department,1079,2.9,
Hawaii,2020,202006,Substance use disorder,Emergency department,1679,4.6,
Hawaii,2020,202006,Mental health disorder,Inpatient,515,1.4,
Hawaii,2020,202006,Substance use disorder,Inpatient,854,2.3,
Hawaii,2020,202006,Mental health disorder,Intensive outpatient/Partial hospitalization,150,0.4,
Hawaii,2020,202006,Substance use disorder,Intensive outpatient/Partial hospitalization,1495,4.1,
Hawaii,2020,202006,Mental health disorder,Outpatient,12307,33.6,
Hawaii,2020,202006,Substance use disorder,Outpatient,777,2.1,
Hawaii,2020,202006,Mental health disorder,Telehealth,7089,19.4,
Hawaii,2020,202006,Substance use disorder,Telehealth,1139,3.1,
Hawaii,2020,202007,Mental health disorder,Emergency department,1209,3.3,
Hawaii,2020,202007,Substance use disorder,Emergency department,1704,4.6,
Hawaii,2020,202007,Mental health disorder,Inpatient,552,1.5,
Hawaii,2020,202007,Substance use disorder,Inpatient,873,2.3,
Hawaii,2020,202007,Mental health disorder,Intensive outpatient/Partial hospitalization,149,0.4,
Hawaii,2020,202007,Substance use disorder,Intensive outpatient/Partial hospitalization,1572,4.2,
Hawaii,2020,202007,Mental health disorder,Outpatient,12354,33.2,
Hawaii,2020,202007,Substance use disorder,Outpatient,820,2.2,
Hawaii,2020,202007,Mental health disorder,Telehealth,6923,18.6,
Hawaii,2020,202007,Substance use disorder,Telehealth,1195,3.2,
Hawaii,2020,202008,Mental health disorder,Emergency department,1072,2.8,
Hawaii,2020,202008,Substance use disorder,Emergency department,1607,4.3,
Hawaii,2020,202008,Mental health disorder,Inpatient,537,1.4,
Hawaii,2020,202008,Substance use disorder,Inpatient,918,2.4,
Hawaii,2020,202008,Mental health disorder,Intensive outpatient/Partial hospitalization,22,0.1,
Hawaii,2020,202008,Substance use disorder,Intensive outpatient/Partial hospitalization,1401,3.7,
Hawaii,2020,202008,Mental health disorder,Outpatient,11148,29.5,
Hawaii,2020,202008,Substance use disorder,Outpatient,787,2.1,
Hawaii,2020,202008,Mental health disorder,Telehealth,7000,18.5,
Hawaii,2020,202008,Substance use disorder,Telehealth,1276,3.4,
Hawaii,2020,202009,Mental health disorder,Emergency department,1215,3.2,
Hawaii,2020,202009,Substance use disorder,Emergency department,1598,4.2,
Hawaii,2020,202009,Mental health disorder,Inpatient,542,1.4,
Hawaii,2020,202009,Substance use disorder,Inpatient,858,2.2,
Hawaii,2020,202009,Mental health disorder,Intensive outpatient/Partial hospitalization,17,0.0,
Hawaii,2020,202009,Substance use disorder,Intensive outpatient/Partial hospitalization,1309,3.4,
Hawaii,2020,202009,Mental health disorder,Outpatient,10912,28.5,
Hawaii,2020,202009,Substance use disorder,Outpatient,598,1.6,
Hawaii,2020,202009,Mental health disorder,Telehealth,8144,21.2,
Hawaii,2020,202009,Substance use disorder,Telehealth,1237,3.2,
Hawaii,2020,202010,Mental health disorder,Emergency department,1174,3.0,
Hawaii,2020,202010,Substance use disorder,Emergency department,1668,4.3,
Hawaii,2020,202010,Mental health disorder,Inpatient,540,1.4,
Hawaii,2020,202010,Substance use disorder,Inpatient,847,2.2,
Hawaii,2020,202010,Mental health disorder,Intensive outpatient/Partial hospitalization,17,0.0,
Hawaii,2020,202010,Substance use disorder,Intensive outpatient/Partial hospitalization,1324,3.4,
Hawaii,2020,202010,Mental health disorder,Outpatient,11036,28.3,
Hawaii,2020,202010,Substance use disorder,Outpatient,503,1.3,
Hawaii,2020,202010,Mental health disorder,Telehealth,8175,21.0,
Hawaii,2020,202010,Substance use disorder,Telehealth,978,2.5,
Hawaii,2020,202011,Mental health disorder,Emergency department,1147,2.9,
Hawaii,2020,202011,Substance use disorder,Emergency department,1575,4.0,
Hawaii,2020,202011,Mental health disorder,Inpatient,541,1.4,
Hawaii,2020,202011,Substance use disorder,Inpatient,863,2.2,
Hawaii,2020,202011,Mental health disorder,Intensive outpatient/Partial hospitalization,17,0.0,
Hawaii,2020,202011,Substance use disorder,Intensive outpatient/Partial hospitalization,1233,3.1,
Hawaii,2020,202011,Mental health disorder,Outpatient,8722,22.0,
Hawaii,2020,202011,Substance use disorder,Outpatient,482,1.2,
Hawaii,2020,202011,Mental health disorder,Telehealth,7568,19.1,
Hawaii,2020,202011,Substance use disorder,Telehealth,903,2.3,
Hawaii,2020,202012,Mental health disorder,Emergency department,1065,2.6,
Hawaii,2020,202012,Substance use disorder,Emergency department,1517,3.8,
Hawaii,2020,202012,Mental health disorder,Inpatient,393,1.0,
Hawaii,2020,202012,Substance use disorder,Inpatient,656,1.6,
Hawaii,2020,202012,Mental health disorder,Intensive outpatient/Partial hospitalization,26,0.1,
Hawaii,2020,202012,Substance use disorder,Intensive outpatient/Partial hospitalization,1259,3.1,
Hawaii,2020,202012,Mental health disorder,Outpatient,8990,22.3,
Hawaii,2020,202012,Substance use disorder,Outpatient,498,1.2,
Hawaii,2020,202012,Mental health disorder,Telehealth,7600,18.9,
Hawaii,2020,202012,Substance use disorder,Telehealth,883,2.2,
Idaho,2018,201801,Mental health disorder,Emergency department,1450,4.7,
Idaho,2018,201801,Substance use disorder,Emergency department,1630,5.2,
Idaho,2018,201801,Mental health disorder,Inpatient,1001,3.2,
Idaho,2018,201801,Substance use disorder,Inpatient,898,2.9,
Idaho,2018,201801,Mental health disorder,Intensive outpatient/Partial hospitalization,211,0.7,
Idaho,2018,201801,Substance use disorder,Intensive outpatient/Partial hospitalization,4269,13.7,
Idaho,2018,201801,Mental health disorder,Outpatient,41980,134.7,
Idaho,2018,201801,Substance use disorder,Outpatient,562,1.8,
Idaho,2018,201801,Mental health disorder,Telehealth,15,0.0,
Idaho,2018,201801,Substance use disorder,Telehealth,26,0.1,
Idaho,2018,201802,Mental health disorder,Emergency department,1389,4.5,
Idaho,2018,201802,Substance use disorder,Emergency department,1494,4.8,
Idaho,2018,201802,Mental health disorder,Inpatient,930,3.0,
Idaho,2018,201802,Substance use disorder,Inpatient,852,2.7,
Idaho,2018,201802,Mental health disorder,Intensive outpatient/Partial hospitalization,141,0.5,
Idaho,2018,201802,Substance use disorder,Intensive outpatient/Partial hospitalization,4090,13.2,
Idaho,2018,201802,Mental health disorder,Outpatient,36322,117.2,
Idaho,2018,201802,Substance use disorder,Outpatient,520,1.7,
Idaho,2018,201802,Mental health disorder,Telehealth,DS,DS,
Idaho,2018,201802,Substance use disorder,Telehealth,26,0.1,
Idaho,2018,201803,Mental health disorder,Emergency department,1502,4.9,
Idaho,2018,201803,Substance use disorder,Emergency department,1453,4.8,
Idaho,2018,201803,Mental health disorder,Inpatient,1025,3.4,
Idaho,2018,201803,Substance use disorder,Inpatient,938,3.1,
Idaho,2018,201803,Mental health disorder,Intensive outpatient/Partial hospitalization,144,0.5,
Idaho,2018,201803,Substance use disorder,Intensive outpatient/Partial hospitalization,4156,13.7,
Idaho,2018,201803,Mental health disorder,Outpatient,37842,124.6,
Idaho,2018,201803,Substance use disorder,Outpatient,542,1.8,
Idaho,2018,201803,Mental health disorder,Telehealth,DS,DS,
Idaho,2018,201803,Substance use disorder,Telehealth,21,0.1,
Idaho,2018,201804,Mental health disorder,Emergency department,1546,5.2,
Idaho,2018,201804,Substance use disorder,Emergency department,1381,4.7,
Idaho,2018,201804,Mental health disorder,Inpatient,985,3.3,
Idaho,2018,201804,Substance use disorder,Inpatient,881,3.0,
Idaho,2018,201804,Mental health disorder,Intensive outpatient/Partial hospitalization,126,0.4,
Idaho,2018,201804,Substance use disorder,Intensive outpatient/Partial hospitalization,4122,13.9,
Idaho,2018,201804,Mental health disorder,Outpatient,37654,127.4,
Idaho,2018,201804,Substance use disorder,Outpatient,467,1.6,
Idaho,2018,201804,Mental health disorder,Telehealth,17,0.1,
Idaho,2018,201804,Substance use disorder,Telehealth,16,0.1,
Idaho,2018,201805,Mental health disorder,Emergency department,1566,5.3,
Idaho,2018,201805,Substance use disorder,Emergency department,1555,5.2,
Idaho,2018,201805,Mental health disorder,Inpatient,1081,3.6,
Idaho,2018,201805,Substance use disorder,Inpatient,948,3.2,
Idaho,2018,201805,Mental health disorder,Intensive outpatient/Partial hospitalization,155,0.5,
Idaho,2018,201805,Substance use disorder,Intensive outpatient/Partial hospitalization,4212,14.2,
Idaho,2018,201805,Mental health disorder,Outpatient,39183,131.7,
Idaho,2018,201805,Substance use disorder,Outpatient,545,1.8,
Idaho,2018,201805,Mental health disorder,Telehealth,13,0.0,
Idaho,2018,201805,Substance use disorder,Telehealth,22,0.1,
Idaho,2018,201806,Mental health disorder,Emergency department,1388,4.6,
Idaho,2018,201806,Substance use disorder,Emergency department,1420,4.7,
Idaho,2018,201806,Mental health disorder,Inpatient,973,3.3,
Idaho,2018,201806,Substance use disorder,Inpatient,878,2.9,
Idaho,2018,201806,Mental health disorder,Intensive outpatient/Partial hospitalization,156,0.5,
Idaho,2018,201806,Substance use disorder,Intensive outpatient/Partial hospitalization,3842,12.8,
Idaho,2018,201806,Mental health disorder,Outpatient,31634,105.7,
Idaho,2018,201806,Substance use disorder,Outpatient,517,1.7,
Idaho,2018,201806,Mental health disorder,Telehealth,17,0.1,
Idaho,2018,201806,Substance use disorder,Telehealth,33,0.1,
Idaho,2018,201807,Mental health disorder,Emergency department,1495,5.0,
Idaho,2018,201807,Substance use disorder,Emergency department,1564,5.2,
Idaho,2018,201807,Mental health disorder,Inpatient,933,3.1,
Idaho,2018,201807,Substance use disorder,Inpatient,838,2.8,
Idaho,2018,201807,Mental health disorder,Intensive outpatient/Partial hospitalization,171,0.6,
Idaho,2018,201807,Substance use disorder,Intensive outpatient/Partial hospitalization,4092,13.6,
Idaho,2018,201807,Mental health disorder,Outpatient,31292,103.9,
Idaho,2018,201807,Substance use disorder,Outpatient,447,1.5,
Idaho,2018,201807,Mental health disorder,Telehealth,DS,DS,
Idaho,2018,201807,Substance use disorder,Telehealth,40,0.1,
Idaho,2018,201808,Mental health disorder,Emergency department,1429,4.7,
Idaho,2018,201808,Substance use disorder,Emergency department,1453,4.8,
Idaho,2018,201808,Mental health disorder,Inpatient,929,3.1,
Idaho,2018,201808,Substance use disorder,Inpatient,865,2.8,
Idaho,2018,201808,Mental health disorder,Intensive outpatient/Partial hospitalization,193,0.6,
Idaho,2018,201808,Substance use disorder,Intensive outpatient/Partial hospitalization,4399,14.5,
Idaho,2018,201808,Mental health disorder,Outpatient,36036,118.7,
Idaho,2018,201808,Substance use disorder,Outpatient,508,1.7,
Idaho,2018,201808,Mental health disorder,Telehealth,16,0.1,
Idaho,2018,201808,Substance use disorder,Telehealth,61,0.2,
Idaho,2018,201809,Mental health disorder,Emergency department,1496,4.9,
Idaho,2018,201809,Substance use disorder,Emergency department,1484,4.9,
Idaho,2018,201809,Mental health disorder,Inpatient,1007,3.3,
Idaho,2018,201809,Substance use disorder,Inpatient,869,2.8,
Idaho,2018,201809,Mental health disorder,Intensive outpatient/Partial hospitalization,156,0.5,
Idaho,2018,201809,Substance use disorder,Intensive outpatient/Partial hospitalization,3774,12.4,
Idaho,2018,201809,Mental health disorder,Outpatient,34142,111.9,
Idaho,2018,201809,Substance use disorder,Outpatient,459,1.5,
Idaho,2018,201809,Mental health disorder,Telehealth,20,0.1,
Idaho,2018,201809,Substance use disorder,Telehealth,76,0.2,
Idaho,2018,201810,Mental health disorder,Emergency department,1615,5.3,
Idaho,2018,201810,Substance use disorder,Emergency department,1487,4.9,
Idaho,2018,201810,Mental health disorder,Inpatient,1037,3.4,
Idaho,2018,201810,Substance use disorder,Inpatient,870,2.8,
Idaho,2018,201810,Mental health disorder,Intensive outpatient/Partial hospitalization,147,0.5,
Idaho,2018,201810,Substance use disorder,Intensive outpatient/Partial hospitalization,4692,15.4,
Idaho,2018,201810,Mental health disorder,Outpatient,41006,134.3,
Idaho,2018,201810,Substance use disorder,Outpatient,547,1.8,
Idaho,2018,201810,Mental health disorder,Telehealth,15,0.0,
Idaho,2018,201810,Substance use disorder,Telehealth,176,0.6,
Idaho,2018,201811,Mental health disorder,Emergency department,1428,4.7,
Idaho,2018,201811,Substance use disorder,Emergency department,1404,4.6,
Idaho,2018,201811,Mental health disorder,Inpatient,1038,3.4,
Idaho,2018,201811,Substance use disorder,Inpatient,818,2.7,
Idaho,2018,201811,Mental health disorder,Intensive outpatient/Partial hospitalization,129,0.4,
Idaho,2018,201811,Substance use disorder,Intensive outpatient/Partial hospitalization,4082,13.3,
Idaho,2018,201811,Mental health disorder,Outpatient,37169,121.1,
Idaho,2018,201811,Substance use disorder,Outpatient,499,1.6,
Idaho,2018,201811,Mental health disorder,Telehealth,22,0.1,
Idaho,2018,201811,Substance use disorder,Telehealth,205,0.7,
Idaho,2018,201812,Mental health disorder,Emergency department,1407,4.6,
Idaho,2018,201812,Substance use disorder,Emergency department,1317,4.3,
Idaho,2018,201812,Mental health disorder,Inpatient,844,2.7,
Idaho,2018,201812,Substance use disorder,Inpatient,716,2.3,
Idaho,2018,201812,Mental health disorder,Intensive outpatient/Partial hospitalization,158,0.5,
Idaho,2018,201812,Substance use disorder,Intensive outpatient/Partial hospitalization,3960,12.9,
Idaho,2018,201812,Mental health disorder,Outpatient,33408,108.7,
Idaho,2018,201812,Substance use disorder,Outpatient,463,1.5,
Idaho,2018,201812,Mental health disorder,Telehealth,27,0.1,
Idaho,2018,201812,Substance use disorder,Telehealth,178,0.6,
Idaho,2019,201901,Mental health disorder,Emergency department,1561,5.3,
Idaho,2019,201901,Substance use disorder,Emergency department,1442,4.9,
Idaho,2019,201901,Mental health disorder,Inpatient,1140,3.9,
Idaho,2019,201901,Substance use disorder,Inpatient,927,3.1,
Idaho,2019,201901,Mental health disorder,Intensive outpatient/Partial hospitalization,182,0.6,
Idaho,2019,201901,Substance use disorder,Intensive outpatient/Partial hospitalization,4831,16.4,
Idaho,2019,201901,Mental health disorder,Outpatient,43308,146.6,
Idaho,2019,201901,Substance use disorder,Outpatient,621,2.1,
Idaho,2019,201901,Mental health disorder,Telehealth,24,0.1,
Idaho,2019,201901,Substance use disorder,Telehealth,190,0.6,
Idaho,2019,201902,Mental health disorder,Emergency department,1339,4.5,
Idaho,2019,201902,Substance use disorder,Emergency department,1206,4.1,
Idaho,2019,201902,Mental health disorder,Inpatient,1003,3.4,
Idaho,2019,201902,Substance use disorder,Inpatient,843,2.8,
Idaho,2019,201902,Mental health disorder,Intensive outpatient/Partial hospitalization,176,0.6,
Idaho,2019,201902,Substance use disorder,Intensive outpatient/Partial hospitalization,4243,14.3,
Idaho,2019,201902,Mental health disorder,Outpatient,38191,128.6,
Idaho,2019,201902,Substance use disorder,Outpatient,524,1.8,
Idaho,2019,201902,Mental health disorder,Telehealth,32,0.1,
Idaho,2019,201902,Substance use disorder,Telehealth,179,0.6,
Idaho,2019,201903,Mental health disorder,Emergency department,1534,5.1,
Idaho,2019,201903,Substance use disorder,Emergency department,1422,4.8,
Idaho,2019,201903,Mental health disorder,Inpatient,1099,3.7,
Idaho,2019,201903,Substance use disorder,Inpatient,917,3.1,
Idaho,2019,201903,Mental health disorder,Intensive outpatient/Partial hospitalization,134,0.4,
Idaho,2019,201903,Substance use disorder,Intensive outpatient/Partial hospitalization,4349,14.6,
Idaho,2019,201903,Mental health disorder,Outpatient,37882,127.1,
Idaho,2019,201903,Substance use disorder,Outpatient,470,1.6,
